year,words,count
2004,andere,49
2004,nemen,48
2004,kansen,48
2004,zorg,48
2004,haar,48
2004,aandacht,47
2004,moeten,47
2004,binnen,47
2004,waar,46
2004,vlak,46
2004,werk,45
2004,betere,44
2004,verder,44
2004,willen,44
2004,europese,43
2004,ondersteunen,43
2004,bevoegdheden,42
2004,ruimte,41
2004,lokale,41
2004,krijgen,41
2004,hebben,41
2004,jongeren,40
2004,nieuwe,40
2004,eigen,40
2004,onder,40
2004,maatregelen,39
2004,cultuur,38
2004,ze,38
2009,de,3982
2009,van,2287
2009,en,2157
2009,het,1685
2009,een,1578
2009,in,1280
2009,we,1087
2009,voor,947
2009,op,708
2009,met,632
2009,te,593
2009,om,439
2009,vlaamse,430
2009,worden,355
2009,dat,334
2009,aan,331
2009,die,322
2009,ook,320
2009,wordt,298
2009,is,284
2009,vlaanderen,254
2009,meer,242
2009,regering,216
2009,tot,203
2009,zijn,201
2009,bij,196
2009,•,187
2009,door,182
2009,als,182
2009,zal,179
2009,,173
2009,naar,168
2009,er,159
2009,beleid,153
2009,verder,146
2009,moet,143
2009,maken,142
2009,uit,132
2009,over,131
2009,kunnen,128
2009,onze,127
2009,deze,125
2009,sociale,124
2009,alle,124
2009,overheid,122
2009,moeten,122
2009,nieuwe,119
2009,via,115
2009,tussen,112
2009,onderwijs,109
2009,onder,107
2009,niet,104
2009,of,103
2009,vlaams,99
2009,dit,96
2009,daarbij,91
2009,hun,89
2009,samenwerking,88
2009,maar,87
2009,zorgen,87
2009,werk,86
2009,kader,83
2009,lokale,83
2009,aandacht,82
2009,zetten,81
2009,willen,79
2009,economische,78
2009,andere,78
2009,economie,76
2009,zullen,75
2009,binnen,74
2009,werken,74
2009,kan,74
2009,mogelijk,71
2009,bedrijven,70
2009,brussel,68
2009,komen,66
2009,daarom,63
2009,realiseren,62
2009,zo,62
2009,zich,61
2009,ons,61
2009,vlak,61
2009,zoals,61
2009,waar,61
2009,investeren,60
2009,europese,59
2009,versterken,59
2009,mensen,58
2009,hebben,58
2009,nog,57
2009,nemen,57
2009,belangrijke,57
2009,voeren,57
2009,aanbod,56
2009,uitvoering,56
2009,basis,54
2009,aantal,54
2009,samenleving,53
2009,haar,53
2014,de,4290
2014,en,2871
2014,van,2575
2014,het,1862
2014,we,1636
2014,een,1607
2014,in,1405
2014,voor,1005
2014,op,844
2014,met,819
2014,te,683
2014,vlaamse,658
2014,om,459
2014,aan,400
2014,die,359
2014,worden,354
2014,regering,332
2014,ook,303
2014,•,300
2014,,297
2014,dat,297
2014,is,284
2014,wordt,281
2014,als,251
2014,bij,242
2014,door,239
2014,vlaanderen,218
2014,meer,210
2014,tot,205
2014,zijn,202
2014,regeerakkoord,199
2014,of,187
2014,naar,186
2014,uit,167
2014,167,167
2014,23072014,166
2014,pagina,166
2014,kunnen,165
2014,dit,162
2014,overheid,158
2014,maken,157
2014,deze,151
2014,nieuwe,146
2014,verder,143
2014,onze,128
2014,werken,128
2014,alle,120
2014,lokale,120
2014,kan,116
2014,beleid,114
2014,zal,113
2014,moet,113
2014,hun,113
2014,onderwijs,109
2014,sociale,108
2014,er,107
2014,niet,104
2014,andere,104
2014,tussen,104
2014,zetten,103
2014,samenwerking,103
2014,binnen,103
2014,moeten,102
2014,mogelijk,100
2014,werk,99
2014,via,99
2014,over,94
2014,vlaams,93
2014,voeren,93
2014,kader,90
2014,zorgen,85
2014,zo,84
2014,onder,83
2014,samen,81
2014,waar,81
2014,stimuleren,81
2014,blijven,80
2014,overleg,80
2014,geven,76
2014,hebben,75
2014,aandacht,75
2014,zich,72
2014,brussel,71
2014,maar,70
2014,willen,70
2014,besturen,68
2014,inzake,68
2014,bestaande,67
2014,ze,67
2014,gemeenten,65
2014,gaan,65
2014,verschillende,65
2014,ondersteuning,65
2014,basis,65
2014,agentschap,64
2014,versterken,64
2014,dan,64
2014,europese,62
2014,af,62
2014,zorg,61
