words,count
de,2830
en,1793
van,1612
het,1112
een,1001
we,785
in,696
voor,676
•,565
op,456
te,432
met,408
om,325
aan,293
vlaamse,256
worden,213
die,201
dat,182
is,165
,161
meer,147
tot,145
ook,142
vlaanderen,130
wordt,125
overheid,119
als,119
of,116
door,113
sociale,112
zijn,111
naar,110
beleid,108
onderwijs,106
uit,106
moet,105
wij,104
bij,101
zal,99
deze,98
alle,98
hun,96
regering,94
tussen,91
niet,89
inzake,85
er,79
maken,78
kunnen,77
zullen,77
geven,75
dit,75
over,75
mensen,73
vlaams,73
samenwerking,71
zich,70
realiseren,66
gemeenten,63
zo,63
versterken,62
zorgen,62
kan,62
onze,61
via,57
werken,56
brussel,55
stimuleren,52
maar,51
mogelijk,51
samenleving,50
voeren,50
andere,49
nemen,48
kansen,48
zorg,48
haar,48
aandacht,47
moeten,47
binnen,47
waar,46
vlak,46
werk,45
betere,44
verder,44
willen,44
europese,43
ondersteunen,43
bevoegdheden,42
ruimte,41
lokale,41
krijgen,41
hebben,41
jongeren,40
nieuwe,40
eigen,40
onder,40
maatregelen,39
cultuur,38
ze,38
