words,count
de,3982
van,2287
en,2157
het,1685
een,1578
in,1280
we,1087
voor,947
op,708
met,632
te,593
om,439
vlaamse,430
worden,355
dat,334
aan,331
die,322
ook,320
wordt,298
is,284
vlaanderen,254
meer,242
regering,216
tot,203
zijn,201
bij,196
•,187
door,182
als,182
zal,179
,173
naar,168
er,159
beleid,153
verder,146
moet,143
maken,142
uit,132
over,131
kunnen,128
onze,127
deze,125
sociale,124
alle,124
overheid,122
moeten,122
nieuwe,119
via,115
tussen,112
onderwijs,109
onder,107
niet,104
of,103
vlaams,99
dit,96
daarbij,91
hun,89
samenwerking,88
maar,87
zorgen,87
werk,86
kader,83
lokale,83
aandacht,82
zetten,81
willen,79
economische,78
andere,78
economie,76
zullen,75
binnen,74
werken,74
kan,74
mogelijk,71
bedrijven,70
brussel,68
komen,66
daarom,63
realiseren,62
zo,62
zich,61
ons,61
vlak,61
zoals,61
waar,61
investeren,60
europese,59
versterken,59
mensen,58
hebben,58
nog,57
nemen,57
belangrijke,57
voeren,57
aanbod,56
uitvoering,56
basis,54
aantal,54
samenleving,53
haar,53
