words,count
de,2278
van,1221
en,918
het,873
,630
een,609
worden,514
in,493
zal,448
vlaamse,398
op,314
voor,297
te,294
met,243
regering,237
aan,170
zullen,144
om,135
die,131
door,123
beleid,115
bij,100
moet,95
inzake,95
dit,90
1,88
dat,83
is,83
tot,83
zijn,79
deze,70
naar,69
onderwijs,62
als,61
er,61
meer,56
dient,56
wordt,54
tussen,54
vlaams,54
raad,53
haar,49
gemeenschap,49
1992,48
alle,48
ook,47
10,46
moeten,46
basis,46
sociale,45
overheid,45
vlaanderen,42
nieuwe,42
ten,39
verder,39
bz,38
nr,38
kader,38
via,37
aandacht,37
zich,36
overleg,35
samenwerking,33
burger,33
middelen,33
maken,32
grote,32
kunnen,32
nationale,32
bijzonder,32
onderzoek,32
binnen,32
brussel,31
vlak,30
dienen,30
uit,29
bijzondere,29
integratie,29
bestaande,28
onder,28
heeft,27
zowel,27
hierbij,27
kan,27
maatregelen,27
ter,26
over,26
werking,26
tevens,26
economische,25
betrokken,25
nodige,25
oog,25
mogelijk,24
financiële,24
europese,24
zij,24
maatschappelijke,24
specifieke,24
decreet,24
