words,count
de,2767
van,1394
het,1191
en,1154
een,894
,748
in,561
worden,520
voor,491
op,418
vlaamse,332
te,315
met,291
moet,288
dat,287
die,274
–,242
wordt,225
is,225
aan,223
om,208
regering,187
zal,176
moeten,156
ook,153
zijn,143
er,134
door,130
tot,126
meer,113
naar,106
beleid,103
niet,102
als,101
overheid,100
onderwijs,99
bij,98
kunnen,96
1,85
kan,85
vlaanderen,81
nieuwe,79
tussen,74
of,71
inzake,67
1999,66
31,64
stuk,63
nr,63
deze,62
binnen,61
alle,60
sociale,60
vlaams,56
hun,54
middelen,54
maar,52
over,52
uit,51
gemeenten,51
verder,51
onder,50
basis,50
maken,49
aandacht,49
kader,49
dit,47
via,46
heeft,45
samenwerking,45
mogelijk,44
gemeenschap,44
zich,43
dan,43
extra,43
federale,43
daarbij,43
onderzoek,43
andere,41
brussel,41
verschillende,41
zullen,40
ontwikkeling,40
ten,39
lokale,39
haar,38
bestaande,38
daartoe,37
ze,36
wij,36
nodige,36
zo,35
krijgen,35
waarbij,35
nodig,34
rol,34
administratie,33
gemaakt,32
zoals,32
jaar,31
