words,count
de,4290
en,2871
van,2575
het,1862
we,1636
een,1607
in,1405
voor,1005
op,844
met,819
te,683
vlaamse,658
om,459
aan,400
die,359
worden,354
regering,332
ook,303
•,300
,297
dat,297
is,284
wordt,281
als,251
bij,242
door,239
vlaanderen,218
meer,210
tot,205
zijn,202
regeerakkoord,199
of,187
naar,186
uit,167
167,167
23072014,166
pagina,166
kunnen,165
dit,162
overheid,158
maken,157
deze,151
nieuwe,146
verder,143
onze,128
werken,128
alle,120
lokale,120
kan,116
beleid,114
zal,113
moet,113
hun,113
onderwijs,109
sociale,108
er,107
niet,104
andere,104
tussen,104
zetten,103
samenwerking,103
binnen,103
moeten,102
mogelijk,100
werk,99
via,99
over,94
vlaams,93
voeren,93
kader,90
zorgen,85
zo,84
onder,83
samen,81
waar,81
stimuleren,81
blijven,80
overleg,80
geven,76
hebben,75
aandacht,75
zich,72
brussel,71
maar,70
willen,70
besturen,68
inzake,68
bestaande,67
ze,67
gemeenten,65
gaan,65
verschillende,65
ondersteuning,65
basis,65
agentschap,64
versterken,64
dan,64
europese,62
af,62
zorg,61
