gemeente,leeftijdsklasse,aantal
Gingelom,Van 20 tot 24 jaar,5.0
Gingelom,Van 25 tot 29 jaar,6.0
Gistel,Van 15 tot 19 jaar,7.0
Gistel,Van 20 tot 24 jaar,6.0
Gistel,Van 25 tot 29 jaar,6.0
Glabbeek,Van 15 tot 19 jaar,5.0
Glabbeek,Van 20 tot 24 jaar,5.0
Glabbeek,Van 25 tot 29 jaar,5.0
Gooik,Van 15 tot 19 jaar,6.0
Gooik,Van 20 tot 24 jaar,5.0
Gooik,Van 25 tot 29 jaar,5.0
Gouvy,Van 15 tot 19 jaar,7.0
Gouvy,Van 20 tot 24 jaar,6.0
Gouvy,Van 25 tot 29 jaar,6.0
Graven,Van 15 tot 19 jaar,7.0
Graven,Van 20 tot 24 jaar,6.0
Graven,Van 25 tot 29 jaar,5.0
Grimbergen,Van 15 tot 19 jaar,6.0
Grimbergen,Van 20 tot 24 jaar,5.0
Grimbergen,Van 25 tot 29 jaar,5.0
Grobbendonk,Van 15 tot 19 jaar,6.0
Grobbendonk,Van 20 tot 24 jaar,5.0
Grobbendonk,Van 25 tot 29 jaar,5.0
Grâce-Hollogne,Van 15 tot 19 jaar,7.0
Grâce-Hollogne,Van 20 tot 24 jaar,6.0
Grâce-Hollogne,Van 25 tot 29 jaar,6.0
Haacht,Van 15 tot 19 jaar,6.0
Haacht,Van 20 tot 24 jaar,5.0
Haacht,Van 25 tot 29 jaar,5.0
Haaltert,Van 15 tot 19 jaar,5.0
Haaltert,Van 20 tot 24 jaar,5.0
Haaltert,Van 25 tot 29 jaar,6.0
Habay,Van 15 tot 19 jaar,6.0
Habay,Van 20 tot 24 jaar,6.0
Habay,Van 25 tot 29 jaar,7.0
Halen,Van 15 tot 19 jaar,5.0
Halen,Van 20 tot 24 jaar,5.0
Halen,Van 25 tot 29 jaar,6.0
Halle (Halle-Vilvoorde),Van 15 tot 19 jaar,6.0
Halle (Halle-Vilvoorde),Van 20 tot 24 jaar,6.0
Halle (Halle-Vilvoorde),Van 25 tot 29 jaar,6.0
Ham,Van 15 tot 19 jaar,5.0
Ham,Van 20 tot 24 jaar,6.0
Ham,Van 25 tot 29 jaar,7.0
Ham-sur-Heure-Nalinnes,Van 15 tot 19 jaar,7.0
Ham-sur-Heure-Nalinnes,Van 20 tot 24 jaar,6.0
Ham-sur-Heure-Nalinnes,Van 25 tot 29 jaar,5.0
Hamme (Dendermonde),Van 15 tot 19 jaar,6.0
Hamme (Dendermonde),Van 20 tot 24 jaar,6.0
Hamme (Dendermonde),Van 25 tot 29 jaar,6.0
Hamoir,Van 15 tot 19 jaar,7.0
Hamoir,Van 20 tot 24 jaar,6.0
Hamoir,Van 25 tot 29 jaar,5.0
Hamois,Van 15 tot 19 jaar,8.0
Hamois,Van 20 tot 24 jaar,6.0
Hamois,Van 25 tot 29 jaar,6.0
Hamont-Achel,Van 15 tot 19 jaar,6.0
Hamont-Achel,Van 20 tot 24 jaar,6.0
Hamont-Achel,Van 25 tot 29 jaar,5.0
Hannuit,Van 15 tot 19 jaar,6.0
Hannuit,Van 20 tot 24 jaar,6.0
Hannuit,Van 25 tot 29 jaar,5.0
Harelbeke,Van 15 tot 19 jaar,6.0
Harelbeke,Van 20 tot 24 jaar,6.0
Harelbeke,Van 25 tot 29 jaar,7.0
Hasselt,Van 15 tot 19 jaar,5.0
Hasselt,Van 20 tot 24 jaar,6.0
Hasselt,Van 25 tot 29 jaar,7.0
Hastière,Van 15 tot 19 jaar,5.0
Hastière,Van 20 tot 24 jaar,5.0
Hastière,Van 25 tot 29 jaar,5.0
Havelange,Van 15 tot 19 jaar,7.0
Havelange,Van 20 tot 24 jaar,6.0
Havelange,Van 25 tot 29 jaar,6.0
Hechtel-Eksel,Van 15 tot 19 jaar,7.0
Hechtel-Eksel,Van 20 tot 24 jaar,7.0
Hechtel-Eksel,Van 25 tot 29 jaar,6.0
Heers,Van 15 tot 19 jaar,5.0
Heers,Van 20 tot 24 jaar,4.0
Heers,Van 25 tot 29 jaar,6.0
Heist-op-den-Berg,Van 15 tot 19 jaar,6.0
Heist-op-den-Berg,Van 20 tot 24 jaar,5.0
Heist-op-den-Berg,Van 25 tot 29 jaar,6.0
Hemiksem,Van 15 tot 19 jaar,5.0
Hemiksem,Van 20 tot 24 jaar,5.0
Hemiksem,Van 25 tot 29 jaar,6.0
Hensies,Van 15 tot 19 jaar,6.0
Hensies,Van 20 tot 24 jaar,6.0
Hensies,Van 25 tot 29 jaar,6.0
Herbeumont,Van 15 tot 19 jaar,7.0
Herbeumont,Van 20 tot 24 jaar,5.0
Herbeumont,Van 25 tot 29 jaar,4.0
Herent,Van 15 tot 19 jaar,6.0
Herent,Van 20 tot 24 jaar,6.0
Herent,Van 25 tot 29 jaar,6.0
Herentals,Van 15 tot 19 jaar,6.0
Herentals,Van 20 tot 24 jaar,6.0
Herentals,Van 25 tot 29 jaar,7.0
Herenthout,Van 15 tot 19 jaar,6.0
Herenthout,Van 20 tot 24 jaar,6.0
Herenthout,Van 25 tot 29 jaar,6.0
Herk-de-Stad,Van 15 tot 19 jaar,6.0
Herk-de-Stad,Van 20 tot 24 jaar,5.0
Herk-de-Stad,Van 25 tot 29 jaar,6.0
Herne,Van 15 tot 19 jaar,6.0
Herne,Van 20 tot 24 jaar,5.0
Herne,Van 25 tot 29 jaar,5.0
Herselt,Van 15 tot 19 jaar,6.0
Herselt,Van 20 tot 24 jaar,5.0
Herselt,Van 25 tot 29 jaar,6.0
Herstal,Van 15 tot 19 jaar,7.0
Herstal,Van 20 tot 24 jaar,6.0
Herstal,Van 25 tot 29 jaar,6.0
Herstappe,Van 15 tot 19 jaar,7.0
Herstappe,Van 20 tot 24 jaar,5.0
Herstappe,Van 25 tot 29 jaar,7.0
Herve,Van 15 tot 19 jaar,7.0
Herve,Van 20 tot 24 jaar,7.0
Herve,Van 25 tot 29 jaar,6.0
Herzele,Van 15 tot 19 jaar,6.0
Herzele,Van 20 tot 24 jaar,5.0
Herzele,Van 25 tot 29 jaar,6.0
Heusden-Zolder,Van 15 tot 19 jaar,6.0
Heusden-Zolder,Van 20 tot 24 jaar,7.0
Heusden-Zolder,Van 25 tot 29 jaar,7.0
Heuvelland,Van 15 tot 19 jaar,7.0
Heuvelland,Van 20 tot 24 jaar,6.0
Heuvelland,Van 25 tot 29 jaar,6.0
Hoegaarden,Van 15 tot 19 jaar,6.0
Hoegaarden,Van 20 tot 24 jaar,5.0
Hoegaarden,Van 25 tot 29 jaar,5.0
Hoei,Van 15 tot 19 jaar,6.0
Hoei,Van 20 tot 24 jaar,7.0
Hoei,Van 25 tot 29 jaar,7.0
Hoeilaart,Van 15 tot 19 jaar,6.0
Hoeilaart,Van 20 tot 24 jaar,5.0
Hoeilaart,Van 25 tot 29 jaar,5.0
Hoeselt,Van 15 tot 19 jaar,6.0
Hoeselt,Van 20 tot 24 jaar,5.0
Hoeselt,Van 25 tot 29 jaar,6.0
Holsbeek,Van 15 tot 19 jaar,6.0
Holsbeek,Van 20 tot 24 jaar,5.0
Holsbeek,Van 25 tot 29 jaar,5.0
Honnelles,Van 15 tot 19 jaar,7.0
Honnelles,Van 20 tot 24 jaar,5.0
Honnelles,Van 25 tot 29 jaar,5.0
Hooglede,Van 15 tot 19 jaar,7.0
Hooglede,Van 20 tot 24 jaar,6.0
Hooglede,Van 25 tot 29 jaar,6.0
Hoogstraten,Van 15 tot 19 jaar,7.0
Hoogstraten,Van 20 tot 24 jaar,6.0
Hoogstraten,Van 25 tot 29 jaar,6.0
Horebeke,Van 15 tot 19 jaar,5.0
Horebeke,Van 20 tot 24 jaar,4.0
Horebeke,Van 25 tot 29 jaar,4.0
Hotton,Van 15 tot 19 jaar,8.0
Hotton,Van 20 tot 24 jaar,6.0
Hotton,Van 25 tot 29 jaar,6.0
Houffalize,Van 15 tot 19 jaar,7.0
Houffalize,Van 20 tot 24 jaar,7.0
Houffalize,Van 25 tot 29 jaar,6.0
Houthalen-Helchteren,Van 15 tot 19 jaar,7.0
Houthalen-Helchteren,Van 20 tot 24 jaar,7.0
Houthalen-Helchteren,Van 25 tot 29 jaar,7.0
Houthulst,Van 15 tot 19 jaar,6.0
Houthulst,Van 20 tot 24 jaar,6.0
Houthulst,Van 25 tot 29 jaar,7.0
Houyet,Van 15 tot 19 jaar,7.0
Houyet,Van 20 tot 24 jaar,6.0
Houyet,Van 25 tot 29 jaar,5.0
Hove (Antwerpen),Van 15 tot 19 jaar,7.0
Hove (Antwerpen),Van 20 tot 24 jaar,7.0
Hove (Antwerpen),Van 25 tot 29 jaar,4.0
Huldenberg,Van 15 tot 19 jaar,6.0
Huldenberg,Van 20 tot 24 jaar,5.0
Huldenberg,Van 25 tot 29 jaar,4.0
Hulshout,Van 15 tot 19 jaar,6.0
Hulshout,Van 20 tot 24 jaar,5.0
Hulshout,Van 25 tot 29 jaar,6.0
Hélécine,Van 15 tot 19 jaar,6.0
Hélécine,Van 20 tot 24 jaar,5.0
Hélécine,Van 25 tot 29 jaar,5.0
Héron,Van 15 tot 19 jaar,6.0
Héron,Van 20 tot 24 jaar,6.0
Héron,Van 25 tot 29 jaar,6.0
Ichtegem,Van 15 tot 19 jaar,6.0
Ichtegem,Van 20 tot 24 jaar,6.0
Ichtegem,Van 25 tot 29 jaar,6.0
Ieper,Van 15 tot 19 jaar,7.0
Ieper,Van 20 tot 24 jaar,6.0
Ieper,Van 25 tot 29 jaar,6.0
Incourt,Van 15 tot 19 jaar,8.0
Incourt,Van 20 tot 24 jaar,5.0
Incourt,Van 25 tot 29 jaar,5.0
Ingelmunster,Van 15 tot 19 jaar,6.0
Ingelmunster,Van 20 tot 24 jaar,5.0
Ingelmunster,Van 25 tot 29 jaar,6.0
Itter,Van 15 tot 19 jaar,6.0
Itter,Van 20 tot 24 jaar,5.0
Itter,Van 25 tot 29 jaar,5.0
Izegem,Van 15 tot 19 jaar,6.0
Izegem,Van 20 tot 24 jaar,6.0
Izegem,Van 25 tot 29 jaar,6.0
Jabbeke,Van 15 tot 19 jaar,7.0
Jabbeke,Van 20 tot 24 jaar,5.0
Jabbeke,Van 25 tot 29 jaar,5.0
Jalhay,Van 15 tot 19 jaar,8.0
Jalhay,Van 20 tot 24 jaar,6.0
Jalhay,Van 25 tot 29 jaar,5.0
Jemeppe-sur-Sambre,Van 15 tot 19 jaar,6.0
Jemeppe-sur-Sambre,Van 20 tot 24 jaar,6.0
Jemeppe-sur-Sambre,Van 25 tot 29 jaar,6.0
Jette,Van 15 tot 19 jaar,6.0
Jette,Van 20 tot 24 jaar,6.0
Jette,Van 25 tot 29 jaar,8.0
Juprelle,Van 15 tot 19 jaar,6.0
Juprelle,Van 20 tot 24 jaar,6.0
Juprelle,Van 25 tot 29 jaar,5.0
Jurbeke,Van 15 tot 19 jaar,7.0
Jurbeke,Van 20 tot 24 jaar,5.0
Jurbeke,Van 25 tot 29 jaar,5.0
Kalmthout,Van 15 tot 19 jaar,7.0
Kalmthout,Van 20 tot 24 jaar,6.0
Kalmthout,Van 25 tot 29 jaar,5.0
Kampenhout,Van 15 tot 19 jaar,6.0
Kampenhout,Van 20 tot 24 jaar,6.0
Kampenhout,Van 25 tot 29 jaar,5.0
Kapelle-op-den-Bos,Van 15 tot 19 jaar,6.0
Kapelle-op-den-Bos,Van 20 tot 24 jaar,6.0
Kapelle-op-den-Bos,Van 25 tot 29 jaar,6.0
Kapellen (Antwerpen),Van 15 tot 19 jaar,7.0
Kapellen (Antwerpen),Van 20 tot 24 jaar,5.0
Kapellen (Antwerpen),Van 25 tot 29 jaar,5.0
Kaprijke,Van 15 tot 19 jaar,6.0
Kaprijke,Van 20 tot 24 jaar,6.0
Kaprijke,Van 25 tot 29 jaar,5.0
Kasteelbrakel,Van 15 tot 19 jaar,7.0
Kasteelbrakel,Van 20 tot 24 jaar,6.0
Kasteelbrakel,Van 25 tot 29 jaar,5.0
Kasterlee,Van 15 tot 19 jaar,7.0
Kasterlee,Van 20 tot 24 jaar,6.0
Kasterlee,Van 25 tot 29 jaar,6.0
Keerbergen,Van 15 tot 19 jaar,6.0
Keerbergen,Van 20 tot 24 jaar,5.0
Keerbergen,Van 25 tot 29 jaar,4.0
Kelmis,Van 15 tot 19 jaar,7.0
Kelmis,Van 20 tot 24 jaar,6.0
Kelmis,Van 25 tot 29 jaar,5.0
Kinrooi,Van 15 tot 19 jaar,7.0
Kinrooi,Van 20 tot 24 jaar,6.0
Kinrooi,Van 25 tot 29 jaar,5.0
Kluisbergen,Van 15 tot 19 jaar,5.0
Kluisbergen,Van 20 tot 24 jaar,6.0
Kluisbergen,Van 25 tot 29 jaar,6.0
Knokke-Heist,Van 15 tot 19 jaar,5.0
Knokke-Heist,Van 20 tot 24 jaar,4.0
Knokke-Heist,Van 25 tot 29 jaar,4.0
Koekelare,Van 15 tot 19 jaar,6.0
Koekelare,Van 20 tot 24 jaar,6.0
Koekelare,Van 25 tot 29 jaar,7.0
Koekelberg,Van 15 tot 19 jaar,5.0
Koekelberg,Van 20 tot 24 jaar,6.0
Koekelberg,Van 25 tot 29 jaar,9.0
Koksijde,Van 15 tot 19 jaar,5.0
Koksijde,Van 20 tot 24 jaar,5.0
Koksijde,Van 25 tot 29 jaar,4.0
Komen-Waasten,Van 15 tot 19 jaar,6.0
Komen-Waasten,Van 20 tot 24 jaar,6.0
Komen-Waasten,Van 25 tot 29 jaar,6.0
Kontich,Van 15 tot 19 jaar,7.0
Kontich,Van 20 tot 24 jaar,6.0
Kontich,Van 25 tot 29 jaar,5.0
Kortemark,Van 15 tot 19 jaar,6.0
Kortemark,Van 20 tot 24 jaar,6.0
Kortemark,Van 25 tot 29 jaar,6.0
Kortenaken,Van 15 tot 19 jaar,5.0
Kortenaken,Van 20 tot 24 jaar,5.0
Kortenaken,Van 25 tot 29 jaar,5.0
Kortenberg,Van 15 tot 19 jaar,6.0
Kortenberg,Van 20 tot 24 jaar,5.0
Kortenberg,Van 25 tot 29 jaar,5.0
Kortessem,Van 15 tot 19 jaar,6.0
Kortessem,Van 20 tot 24 jaar,5.0
Kortessem,Van 25 tot 29 jaar,6.0
Kortrijk,Van 15 tot 19 jaar,6.0
Kortrijk,Van 20 tot 24 jaar,6.0
Kortrijk,Van 25 tot 29 jaar,6.0
Kraainem,Van 15 tot 19 jaar,7.0
Kraainem,Van 20 tot 24 jaar,7.0
Kraainem,Van 25 tot 29 jaar,5.0
Kruibeke,Van 15 tot 19 jaar,6.0
Kruibeke,Van 20 tot 24 jaar,5.0
Kruibeke,Van 25 tot 29 jaar,6.0
Kruisem,Van 15 tot 19 jaar,6.0
Kruisem,Van 20 tot 24 jaar,6.0
Kruisem,Van 25 tot 29 jaar,6.0
Kuurne,Van 15 tot 19 jaar,6.0
Kuurne,Van 20 tot 24 jaar,6.0
Kuurne,Van 25 tot 29 jaar,5.0
La Bruyère,Van 15 tot 19 jaar,7.0
La Bruyère,Van 20 tot 24 jaar,6.0
La Bruyère,Van 25 tot 29 jaar,5.0
La Louvière,Van 15 tot 19 jaar,6.0
La Louvière,Van 20 tot 24 jaar,7.0
La Louvière,Van 25 tot 29 jaar,6.0
La Roche-en-Ardenne,Van 15 tot 19 jaar,7.0
La Roche-en-Ardenne,Van 20 tot 24 jaar,5.0
La Roche-en-Ardenne,Van 25 tot 29 jaar,5.0
Laakdal,Van 15 tot 19 jaar,6.0
Laakdal,Van 20 tot 24 jaar,5.0
Laakdal,Van 25 tot 29 jaar,6.0
Laarne,Van 15 tot 19 jaar,6.0
Laarne,Van 20 tot 24 jaar,5.0
Laarne,Van 25 tot 29 jaar,6.0
Lanaken,Van 15 tot 19 jaar,6.0
Lanaken,Van 20 tot 24 jaar,6.0
Lanaken,Van 25 tot 29 jaar,6.0
Landen,Van 15 tot 19 jaar,5.0
Landen,Van 20 tot 24 jaar,5.0
Landen,Van 25 tot 29 jaar,6.0
Langemark-Poelkapelle,Van 15 tot 19 jaar,7.0
Langemark-Poelkapelle,Van 20 tot 24 jaar,6.0
Langemark-Poelkapelle,Van 25 tot 29 jaar,6.0
Lasne,Van 15 tot 19 jaar,7.0
Lasne,Van 20 tot 24 jaar,6.0
Lasne,Van 25 tot 29 jaar,4.0
Le Roeulx,Van 15 tot 19 jaar,6.0
Le Roeulx,Van 20 tot 24 jaar,6.0
Le Roeulx,Van 25 tot 29 jaar,6.0
Lebbeke,Van 15 tot 19 jaar,5.0
Lebbeke,Van 20 tot 24 jaar,5.0
Lebbeke,Van 25 tot 29 jaar,6.0
Lede,Van 15 tot 19 jaar,5.0
Lede,Van 20 tot 24 jaar,5.0
Lede,Van 25 tot 29 jaar,6.0
Ledegem,Van 15 tot 19 jaar,6.0
Ledegem,Van 20 tot 24 jaar,6.0
Ledegem,Van 25 tot 29 jaar,6.0
Lendelede,Van 15 tot 19 jaar,6.0
Lendelede,Van 20 tot 24 jaar,6.0
Lendelede,Van 25 tot 29 jaar,6.0
Lennik,Van 15 tot 19 jaar,6.0
Lennik,Van 20 tot 24 jaar,5.0
Lennik,Van 25 tot 29 jaar,5.0
Lens,Van 15 tot 19 jaar,6.0
Lens,Van 20 tot 24 jaar,5.0
Lens,Van 25 tot 29 jaar,6.0
Leopoldsburg,Van 15 tot 19 jaar,6.0
Leopoldsburg,Van 20 tot 24 jaar,6.0
Leopoldsburg,Van 25 tot 29 jaar,7.0
Les Bons Villers,Van 15 tot 19 jaar,7.0
Les Bons Villers,Van 20 tot 24 jaar,6.0
Les Bons Villers,Van 25 tot 29 jaar,5.0
Lessen,Van 15 tot 19 jaar,7.0
Lessen,Van 20 tot 24 jaar,5.0
Lessen,Van 25 tot 29 jaar,5.0
Leuven,Van 15 tot 19 jaar,5.0
Leuven,Van 20 tot 24 jaar,8.0
Leuven,Van 25 tot 29 jaar,11.0
Leuze-en-Hainaut,Van 15 tot 19 jaar,6.0
Leuze-en-Hainaut,Van 20 tot 24 jaar,6.0
Leuze-en-Hainaut,Van 25 tot 29 jaar,6.0
Libin,Van 15 tot 19 jaar,7.0
Libin,Van 20 tot 24 jaar,6.0
Libin,Van 25 tot 29 jaar,6.0
Libramont-Chevigny,Van 15 tot 19 jaar,7.0
Libramont-Chevigny,Van 20 tot 24 jaar,7.0
Libramont-Chevigny,Van 25 tot 29 jaar,7.0
Lichtervelde,Van 15 tot 19 jaar,6.0
Lichtervelde,Van 20 tot 24 jaar,6.0
Lichtervelde,Van 25 tot 29 jaar,6.0
Liedekerke,Van 15 tot 19 jaar,6.0
Liedekerke,Van 20 tot 24 jaar,5.0
Liedekerke,Van 25 tot 29 jaar,5.0
Lier,Van 15 tot 19 jaar,6.0
Lier,Van 20 tot 24 jaar,6.0
Lier,Van 25 tot 29 jaar,7.0
Lierde,Van 15 tot 19 jaar,6.0
Lierde,Van 20 tot 24 jaar,5.0
Lierde,Van 25 tot 29 jaar,5.0
Lierneux,Van 15 tot 19 jaar,7.0
Lierneux,Van 20 tot 24 jaar,6.0
Lierneux,Van 25 tot 29 jaar,6.0
Lievegem,Van 15 tot 19 jaar,6.0
Lievegem,Van 20 tot 24 jaar,5.0
Lievegem,Van 25 tot 29 jaar,5.0
Lijsem,Van 15 tot 19 jaar,7.0
Lijsem,Van 20 tot 24 jaar,5.0
Lijsem,Van 25 tot 29 jaar,5.0
Lille,Van 15 tot 19 jaar,7.0
Lille,Van 20 tot 24 jaar,6.0
Lille,Van 25 tot 29 jaar,6.0
Limburg,Van 15 tot 19 jaar,7.0
Limburg,Van 20 tot 24 jaar,6.0
Limburg,Van 25 tot 29 jaar,6.0
Linkebeek,Van 15 tot 19 jaar,7.0
Linkebeek,Van 20 tot 24 jaar,7.0
Linkebeek,Van 25 tot 29 jaar,4.0
Lint,Van 15 tot 19 jaar,8.0
Lint,Van 20 tot 24 jaar,7.0
Lint,Van 25 tot 29 jaar,6.0
Linter,Van 15 tot 19 jaar,6.0
Linter,Van 20 tot 24 jaar,5.0
Linter,Van 25 tot 29 jaar,6.0
Lo-Reninge,Van 15 tot 19 jaar,7.0
Lo-Reninge,Van 20 tot 24 jaar,6.0
Lo-Reninge,Van 25 tot 29 jaar,5.0
Lobbes,Van 15 tot 19 jaar,6.0
Lobbes,Van 20 tot 24 jaar,6.0
Lobbes,Van 25 tot 29 jaar,5.0
Lochristi,Van 15 tot 19 jaar,6.0
Lochristi,Van 20 tot 24 jaar,5.0
Lochristi,Van 25 tot 29 jaar,5.0
Lokeren,Van 15 tot 19 jaar,6.0
Lokeren,Van 20 tot 24 jaar,6.0
Lokeren,Van 25 tot 29 jaar,7.0
Lommel,Van 15 tot 19 jaar,7.0
Lommel,Van 20 tot 24 jaar,6.0
Lommel,Van 25 tot 29 jaar,6.0
Londerzeel,Van 15 tot 19 jaar,6.0
Londerzeel,Van 20 tot 24 jaar,5.0
Londerzeel,Van 25 tot 29 jaar,6.0
Lontzen,Van 15 tot 19 jaar,7.0
Lontzen,Van 20 tot 24 jaar,6.0
Lontzen,Van 25 tot 29 jaar,5.0
Lubbeek,Van 15 tot 19 jaar,6.0
Lubbeek,Van 20 tot 24 jaar,6.0
Lubbeek,Van 25 tot 29 jaar,5.0
Luik,Van 15 tot 19 jaar,5.0
Luik,Van 20 tot 24 jaar,8.0
Luik,Van 25 tot 29 jaar,9.0
Lummen,Van 15 tot 19 jaar,6.0
Lummen,Van 20 tot 24 jaar,6.0
Lummen,Van 25 tot 29 jaar,7.0
Léglise,Van 15 tot 19 jaar,6.0
Léglise,Van 20 tot 24 jaar,6.0
Léglise,Van 25 tot 29 jaar,6.0
Maarkedal,Van 15 tot 19 jaar,7.0
Maarkedal,Van 20 tot 24 jaar,5.0
Maarkedal,Van 25 tot 29 jaar,5.0
Maaseik,Van 15 tot 19 jaar,6.0
Maaseik,Van 20 tot 24 jaar,6.0
Maaseik,Van 25 tot 29 jaar,6.0
Maasmechelen,Van 15 tot 19 jaar,6.0
Maasmechelen,Van 20 tot 24 jaar,6.0
Maasmechelen,Van 25 tot 29 jaar,7.0
Machelen (Halle-Vilvoorde),Van 15 tot 19 jaar,7.0
Machelen (Halle-Vilvoorde),Van 20 tot 24 jaar,6.0
Machelen (Halle-Vilvoorde),Van 25 tot 29 jaar,6.0
Maldegem,Van 15 tot 19 jaar,6.0
Maldegem,Van 20 tot 24 jaar,5.0
Maldegem,Van 25 tot 29 jaar,6.0
Malle,Van 15 tot 19 jaar,7.0
Malle,Van 20 tot 24 jaar,6.0
Malle,Van 25 tot 29 jaar,6.0
Malmedy,Van 15 tot 19 jaar,7.0
Malmedy,Van 20 tot 24 jaar,6.0
Malmedy,Van 25 tot 29 jaar,6.0
Manage,Van 15 tot 19 jaar,7.0
Manage,Van 20 tot 24 jaar,6.0
Manage,Van 25 tot 29 jaar,6.0
Manhay,Van 15 tot 19 jaar,7.0
Manhay,Van 20 tot 24 jaar,6.0
Manhay,Van 25 tot 29 jaar,6.0
Marche-en-Famenne,Van 15 tot 19 jaar,7.0
Marche-en-Famenne,Van 20 tot 24 jaar,7.0
Marche-en-Famenne,Van 25 tot 29 jaar,6.0
Marchin,Van 15 tot 19 jaar,7.0
Marchin,Van 20 tot 24 jaar,6.0
Marchin,Van 25 tot 29 jaar,6.0
Martelange,Van 15 tot 19 jaar,6.0
Martelange,Van 20 tot 24 jaar,6.0
Martelange,Van 25 tot 29 jaar,7.0
Mechelen,Van 15 tot 19 jaar,6.0
Mechelen,Van 20 tot 24 jaar,6.0
Mechelen,Van 25 tot 29 jaar,7.0
Meerhout,Van 15 tot 19 jaar,5.0
Meerhout,Van 20 tot 24 jaar,6.0
Meerhout,Van 25 tot 29 jaar,7.0
Meise,Van 15 tot 19 jaar,7.0
Meise,Van 20 tot 24 jaar,6.0
Meise,Van 25 tot 29 jaar,5.0
Meix-devant-Virton,Van 15 tot 19 jaar,6.0
Meix-devant-Virton,Van 20 tot 24 jaar,6.0
Meix-devant-Virton,Van 25 tot 29 jaar,6.0
Melle,Van 15 tot 19 jaar,6.0
Melle,Van 20 tot 24 jaar,5.0
Melle,Van 25 tot 29 jaar,6.0
Menen,Van 15 tot 19 jaar,6.0
Menen,Van 20 tot 24 jaar,6.0
Menen,Van 25 tot 29 jaar,6.0
Merbes-le-Château,Van 15 tot 19 jaar,7.0
Merbes-le-Château,Van 20 tot 24 jaar,6.0
Merbes-le-Château,Van 25 tot 29 jaar,5.0
Merchtem,Van 15 tot 19 jaar,6.0
Merchtem,Van 20 tot 24 jaar,6.0
Merchtem,Van 25 tot 29 jaar,6.0
Merelbeke,Van 15 tot 19 jaar,6.0
Merelbeke,Van 20 tot 24 jaar,6.0
Merelbeke,Van 25 tot 29 jaar,5.0
Merksplas,Van 15 tot 19 jaar,7.0
Merksplas,Van 20 tot 24 jaar,7.0
Merksplas,Van 25 tot 29 jaar,6.0
Mesen,Van 15 tot 19 jaar,6.0
Mesen,Van 20 tot 24 jaar,7.0
Mesen,Van 25 tot 29 jaar,6.0
Messancy,Van 15 tot 19 jaar,6.0
Messancy,Van 20 tot 24 jaar,6.0
Messancy,Van 25 tot 29 jaar,7.0
Mettet,Van 15 tot 19 jaar,7.0
Mettet,Van 20 tot 24 jaar,6.0
Mettet,Van 25 tot 29 jaar,6.0
Meulebeke,Van 15 tot 19 jaar,6.0
Meulebeke,Van 20 tot 24 jaar,6.0
Meulebeke,Van 25 tot 29 jaar,6.0
Middelkerke,Van 15 tot 19 jaar,5.0
Middelkerke,Van 20 tot 24 jaar,4.0
Middelkerke,Van 25 tot 29 jaar,4.0
Modave,Van 15 tot 19 jaar,6.0
Modave,Van 20 tot 24 jaar,6.0
Modave,Van 25 tot 29 jaar,5.0
Moerbeke (Gent),Van 15 tot 19 jaar,6.0
Moerbeke (Gent),Van 20 tot 24 jaar,5.0
Moerbeke (Gent),Van 25 tot 29 jaar,6.0
Moeskroen,Van 15 tot 19 jaar,6.0
Moeskroen,Van 20 tot 24 jaar,6.0
Moeskroen,Van 25 tot 29 jaar,6.0
Mol,Van 15 tot 19 jaar,6.0
Mol,Van 20 tot 24 jaar,6.0
Mol,Van 25 tot 29 jaar,6.0
Momignies,Van 15 tot 19 jaar,8.0
Momignies,Van 20 tot 24 jaar,7.0
Momignies,Van 25 tot 29 jaar,5.0
Mont-Saint-Guibert,Van 15 tot 19 jaar,7.0
Mont-Saint-Guibert,Van 20 tot 24 jaar,6.0
Mont-Saint-Guibert,Van 25 tot 29 jaar,6.0
Mont-de-l’Enclus,Van 15 tot 19 jaar,6.0
Mont-de-l’Enclus,Van 20 tot 24 jaar,4.0
Mont-de-l’Enclus,Van 25 tot 29 jaar,5.0
Montigny-le-Tilleul,Van 15 tot 19 jaar,6.0
Montigny-le-Tilleul,Van 20 tot 24 jaar,6.0
Montigny-le-Tilleul,Van 25 tot 29 jaar,5.0
Moorslede,Van 15 tot 19 jaar,6.0
Moorslede,Van 20 tot 24 jaar,6.0
Moorslede,Van 25 tot 29 jaar,6.0
Morlanwelz,Van 15 tot 19 jaar,6.0
Morlanwelz,Van 20 tot 24 jaar,6.0
Morlanwelz,Van 25 tot 29 jaar,6.0
Mortsel,Van 15 tot 19 jaar,6.0
Mortsel,Van 20 tot 24 jaar,6.0
Mortsel,Van 25 tot 29 jaar,6.0
Musson,Van 15 tot 19 jaar,7.0
Musson,Van 20 tot 24 jaar,6.0
Musson,Van 25 tot 29 jaar,6.0
Namen,Van 15 tot 19 jaar,6.0
Namen,Van 20 tot 24 jaar,7.0
Namen,Van 25 tot 29 jaar,8.0
Nandrin,Van 15 tot 19 jaar,7.0
Nandrin,Van 20 tot 24 jaar,6.0
Nandrin,Van 25 tot 29 jaar,4.0
Nassogne,Van 15 tot 19 jaar,7.0
Nassogne,Van 20 tot 24 jaar,7.0
Nassogne,Van 25 tot 29 jaar,6.0
Nazareth,Van 15 tot 19 jaar,6.0
