gemeente,leeftijdsklasse,aantal
Beernem,Van 15 tot 19 jaar,6.0
Beernem,Van 20 tot 24 jaar,6.0
Beernem,Van 25 tot 29 jaar,6.0
Beerse,Van 15 tot 19 jaar,7.0
Beerse,Van 20 tot 24 jaar,6.0
Beerse,Van 25 tot 29 jaar,6.0
Beersel,Van 15 tot 19 jaar,7.0
Beersel,Van 20 tot 24 jaar,6.0
Beersel,Van 25 tot 29 jaar,4.0
Begijnendijk,Van 15 tot 19 jaar,6.0
Begijnendijk,Van 20 tot 24 jaar,6.0
Begijnendijk,Van 25 tot 29 jaar,5.0
Bekkevoort,Van 15 tot 19 jaar,6.0
Bekkevoort,Van 20 tot 24 jaar,5.0
Bekkevoort,Van 25 tot 29 jaar,5.0
Beloeil,Van 15 tot 19 jaar,6.0
Beloeil,Van 20 tot 24 jaar,5.0
Beloeil,Van 25 tot 29 jaar,6.0
Bergen,Van 15 tot 19 jaar,6.0
Bergen,Van 20 tot 24 jaar,7.0
Bergen,Van 25 tot 29 jaar,7.0
Beringen,Van 15 tot 19 jaar,6.0
Beringen,Van 20 tot 24 jaar,6.0
Beringen,Van 25 tot 29 jaar,7.0
Berlaar,Van 15 tot 19 jaar,6.0
Berlaar,Van 20 tot 24 jaar,5.0
Berlaar,Van 25 tot 29 jaar,6.0
Berlare,Van 15 tot 19 jaar,5.0
Berlare,Van 20 tot 24 jaar,5.0
Berlare,Van 25 tot 29 jaar,6.0
Berloz,Van 15 tot 19 jaar,6.0
Berloz,Van 20 tot 24 jaar,5.0
Berloz,Van 25 tot 29 jaar,5.0
Bernissart,Van 15 tot 19 jaar,6.0
Bernissart,Van 20 tot 24 jaar,6.0
Bernissart,Van 25 tot 29 jaar,6.0
Bertem,Van 15 tot 19 jaar,6.0
Bertem,Van 20 tot 24 jaar,5.0
Bertem,Van 25 tot 29 jaar,6.0
Bertogne,Van 15 tot 19 jaar,7.0
Bertogne,Van 20 tot 24 jaar,6.0
Bertogne,Van 25 tot 29 jaar,6.0
Bertrix,Van 15 tot 19 jaar,7.0
Bertrix,Van 20 tot 24 jaar,7.0
Bertrix,Van 25 tot 29 jaar,7.0
Bevekom,Van 15 tot 19 jaar,7.0
Bevekom,Van 20 tot 24 jaar,5.0
Bevekom,Van 25 tot 29 jaar,4.0
Bever,Van 15 tot 19 jaar,7.0
Bever,Van 20 tot 24 jaar,5.0
Bever,Van 25 tot 29 jaar,5.0
Beveren (Sint-Niklaas),Van 15 tot 19 jaar,6.0
Beveren (Sint-Niklaas),Van 20 tot 24 jaar,6.0
Beveren (Sint-Niklaas),Van 25 tot 29 jaar,6.0
Beyne-Heusay,Van 15 tot 19 jaar,7.0
Beyne-Heusay,Van 20 tot 24 jaar,6.0
Beyne-Heusay,Van 25 tot 29 jaar,5.0
Bierbeek,Van 15 tot 19 jaar,6.0
Bierbeek,Van 20 tot 24 jaar,5.0
Bierbeek,Van 25 tot 29 jaar,5.0
Bilzen,Van 15 tot 19 jaar,6.0
Bilzen,Van 20 tot 24 jaar,6.0
Bilzen,Van 25 tot 29 jaar,7.0
Binche,Van 15 tot 19 jaar,6.0
Binche,Van 20 tot 24 jaar,6.0
Binche,Van 25 tot 29 jaar,6.0
Bitsingen,Van 15 tot 19 jaar,6.0
Bitsingen,Van 20 tot 24 jaar,5.0
Bitsingen,Van 25 tot 29 jaar,6.0
Bièvre,Van 15 tot 19 jaar,7.0
Bièvre,Van 20 tot 24 jaar,7.0
Bièvre,Van 25 tot 29 jaar,6.0
Blankenberge,Van 15 tot 19 jaar,5.0
Blankenberge,Van 20 tot 24 jaar,5.0
Blankenberge,Van 25 tot 29 jaar,5.0
Blegny,Van 15 tot 19 jaar,6.0
Blegny,Van 20 tot 24 jaar,6.0
Blegny,Van 25 tot 29 jaar,6.0
Bocholt,Van 15 tot 19 jaar,6.0
Bocholt,Van 20 tot 24 jaar,6.0
Bocholt,Van 25 tot 29 jaar,6.0
Boechout,Van 15 tot 19 jaar,7.0
Boechout,Van 20 tot 24 jaar,6.0
Boechout,Van 25 tot 29 jaar,5.0
Bonheiden,Van 15 tot 19 jaar,6.0
Bonheiden,Van 20 tot 24 jaar,6.0
Bonheiden,Van 25 tot 29 jaar,4.0
Boom,Van 15 tot 19 jaar,6.0
Boom,Van 20 tot 24 jaar,5.0
Boom,Van 25 tot 29 jaar,6.0
Boortmeerbeek,Van 15 tot 19 jaar,6.0
Boortmeerbeek,Van 20 tot 24 jaar,5.0
Boortmeerbeek,Van 25 tot 29 jaar,5.0
Borgloon,Van 15 tot 19 jaar,5.0
Borgloon,Van 20 tot 24 jaar,5.0
Borgloon,Van 25 tot 29 jaar,6.0
Borgworm,Van 15 tot 19 jaar,6.0
Borgworm,Van 20 tot 24 jaar,6.0
Borgworm,Van 25 tot 29 jaar,6.0
Bornem,Van 15 tot 19 jaar,6.0
Bornem,Van 20 tot 24 jaar,5.0
Bornem,Van 25 tot 29 jaar,6.0
Borsbeek,Van 15 tot 19 jaar,6.0
Borsbeek,Van 20 tot 24 jaar,6.0
Borsbeek,Van 25 tot 29 jaar,7.0
Bouillon,Van 15 tot 19 jaar,7.0
Bouillon,Van 20 tot 24 jaar,6.0
Bouillon,Van 25 tot 29 jaar,5.0
Boussu,Van 15 tot 19 jaar,7.0
Boussu,Van 20 tot 24 jaar,6.0
Boussu,Van 25 tot 29 jaar,6.0
Boutersem,Van 15 tot 19 jaar,6.0
Boutersem,Van 20 tot 24 jaar,5.0
Boutersem,Van 25 tot 29 jaar,5.0
Braives,Van 15 tot 19 jaar,6.0
Braives,Van 20 tot 24 jaar,5.0
Braives,Van 25 tot 29 jaar,5.0
Brakel,Van 15 tot 19 jaar,5.0
Brakel,Van 20 tot 24 jaar,5.0
Brakel,Van 25 tot 29 jaar,5.0
Brasschaat,Van 15 tot 19 jaar,6.0
Brasschaat,Van 20 tot 24 jaar,6.0
Brasschaat,Van 25 tot 29 jaar,5.0
Brecht,Van 15 tot 19 jaar,7.0
Brecht,Van 20 tot 24 jaar,6.0
Brecht,Van 25 tot 29 jaar,5.0
Bredene,Van 15 tot 19 jaar,6.0
Bredene,Van 20 tot 24 jaar,6.0
Bredene,Van 25 tot 29 jaar,6.0
Bree,Van 15 tot 19 jaar,6.0
Bree,Van 20 tot 24 jaar,6.0
Bree,Van 25 tot 29 jaar,7.0
Brugelette,Van 15 tot 19 jaar,6.0
Brugelette,Van 20 tot 24 jaar,5.0
Brugelette,Van 25 tot 29 jaar,6.0
Brugge,Van 15 tot 19 jaar,6.0
Brugge,Van 20 tot 24 jaar,6.0
Brugge,Van 25 tot 29 jaar,6.0
Brunehaut,Van 15 tot 19 jaar,6.0
Brunehaut,Van 20 tot 24 jaar,6.0
Brunehaut,Van 25 tot 29 jaar,6.0
Brussel,Van 15 tot 19 jaar,6.0
Brussel,Van 20 tot 24 jaar,7.0
Brussel,Van 25 tot 29 jaar,9.0
Buggenhout,Van 15 tot 19 jaar,6.0
Buggenhout,Van 20 tot 24 jaar,5.0
Buggenhout,Van 25 tot 29 jaar,6.0
Burdinne,Van 15 tot 19 jaar,6.0
Burdinne,Van 20 tot 24 jaar,5.0
Burdinne,Van 25 tot 29 jaar,5.0
Burg-Reuland,Van 15 tot 19 jaar,7.0
Burg-Reuland,Van 20 tot 24 jaar,7.0
Burg-Reuland,Van 25 tot 29 jaar,6.0
Büllingen,Van 15 tot 19 jaar,7.0
Büllingen,Van 20 tot 24 jaar,6.0
Büllingen,Van 25 tot 29 jaar,5.0
Bütgenbach,Van 15 tot 19 jaar,8.0
Bütgenbach,Van 20 tot 24 jaar,6.0
Bütgenbach,Van 25 tot 29 jaar,5.0
Celles (Doornik),Van 15 tot 19 jaar,6.0
Celles (Doornik),Van 20 tot 24 jaar,6.0
Celles (Doornik),Van 25 tot 29 jaar,5.0
Cerfontaine,Van 15 tot 19 jaar,6.0
Cerfontaine,Van 20 tot 24 jaar,6.0
Cerfontaine,Van 25 tot 29 jaar,5.0
Chapelle-lez-Herlaimont,Van 15 tot 19 jaar,6.0
Chapelle-lez-Herlaimont,Van 20 tot 24 jaar,6.0
Chapelle-lez-Herlaimont,Van 25 tot 29 jaar,6.0
Charleroi,Van 15 tot 19 jaar,6.0
Charleroi,Van 20 tot 24 jaar,7.0
Charleroi,Van 25 tot 29 jaar,7.0
Chastre,Van 15 tot 19 jaar,8.0
Chastre,Van 20 tot 24 jaar,6.0
Chastre,Van 25 tot 29 jaar,5.0
Chaudfontaine,Van 15 tot 19 jaar,7.0
Chaudfontaine,Van 20 tot 24 jaar,6.0
Chaudfontaine,Van 25 tot 29 jaar,5.0
Chaumont-Gistoux,Van 15 tot 19 jaar,8.0
Chaumont-Gistoux,Van 20 tot 24 jaar,6.0
Chaumont-Gistoux,Van 25 tot 29 jaar,4.0
Chimay,Van 15 tot 19 jaar,7.0
Chimay,Van 20 tot 24 jaar,7.0
Chimay,Van 25 tot 29 jaar,5.0
Chiny,Van 15 tot 19 jaar,7.0
Chiny,Van 20 tot 24 jaar,6.0
Chiny,Van 25 tot 29 jaar,5.0
Chièvres,Van 15 tot 19 jaar,6.0
Chièvres,Van 20 tot 24 jaar,5.0
Chièvres,Van 25 tot 29 jaar,5.0
Châtelet,Van 15 tot 19 jaar,6.0
Châtelet,Van 20 tot 24 jaar,6.0
Châtelet,Van 25 tot 29 jaar,6.0
Ciney,Van 15 tot 19 jaar,7.0
Ciney,Van 20 tot 24 jaar,7.0
Ciney,Van 25 tot 29 jaar,7.0
Clavier,Van 15 tot 19 jaar,6.0
Clavier,Van 20 tot 24 jaar,6.0
Clavier,Van 25 tot 29 jaar,6.0
Colfontaine,Van 15 tot 19 jaar,7.0
Colfontaine,Van 20 tot 24 jaar,6.0
Colfontaine,Van 25 tot 29 jaar,7.0
Comblain-au-Pont,Van 15 tot 19 jaar,6.0
Comblain-au-Pont,Van 20 tot 24 jaar,6.0
Comblain-au-Pont,Van 25 tot 29 jaar,6.0
Courcelles,Van 15 tot 19 jaar,7.0
Courcelles,Van 20 tot 24 jaar,6.0
Courcelles,Van 25 tot 29 jaar,6.0
Court-Saint-Etienne,Van 15 tot 19 jaar,8.0
Court-Saint-Etienne,Van 20 tot 24 jaar,6.0
Court-Saint-Etienne,Van 25 tot 29 jaar,6.0
Couvin,Van 15 tot 19 jaar,7.0
Couvin,Van 20 tot 24 jaar,6.0
Couvin,Van 25 tot 29 jaar,5.0
Crisnée,Van 15 tot 19 jaar,6.0
Crisnée,Van 20 tot 24 jaar,5.0
Crisnée,Van 25 tot 29 jaar,4.0
Dalhem,Van 15 tot 19 jaar,7.0
Dalhem,Van 20 tot 24 jaar,6.0
Dalhem,Van 25 tot 29 jaar,6.0
Damme,Van 15 tot 19 jaar,7.0
Damme,Van 20 tot 24 jaar,7.0
Damme,Van 25 tot 29 jaar,5.0
Daverdisse,Van 15 tot 19 jaar,6.0
Daverdisse,Van 20 tot 24 jaar,6.0
Daverdisse,Van 25 tot 29 jaar,5.0
De Haan,Van 15 tot 19 jaar,6.0
De Haan,Van 20 tot 24 jaar,5.0
De Haan,Van 25 tot 29 jaar,4.0
De Panne,Van 15 tot 19 jaar,5.0
De Panne,Van 20 tot 24 jaar,4.0
De Panne,Van 25 tot 29 jaar,5.0
De Pinte,Van 15 tot 19 jaar,7.0
De Pinte,Van 20 tot 24 jaar,6.0
De Pinte,Van 25 tot 29 jaar,4.0
Deerlijk,Van 15 tot 19 jaar,6.0
Deerlijk,Van 20 tot 24 jaar,6.0
Deerlijk,Van 25 tot 29 jaar,6.0
Deinze,Van 15 tot 19 jaar,6.0
Deinze,Van 20 tot 24 jaar,5.0
Deinze,Van 25 tot 29 jaar,6.0
Denderleeuw,Van 15 tot 19 jaar,6.0
Denderleeuw,Van 20 tot 24 jaar,5.0
Denderleeuw,Van 25 tot 29 jaar,6.0
Dendermonde,Van 15 tot 19 jaar,6.0
Dendermonde,Van 20 tot 24 jaar,6.0
Dendermonde,Van 25 tot 29 jaar,6.0
Dentergem,Van 15 tot 19 jaar,6.0
Dentergem,Van 20 tot 24 jaar,6.0
Dentergem,Van 25 tot 29 jaar,6.0
Dessel,Van 15 tot 19 jaar,6.0
Dessel,Van 20 tot 24 jaar,5.0
Dessel,Van 25 tot 29 jaar,7.0
Destelbergen,Van 15 tot 19 jaar,6.0
Destelbergen,Van 20 tot 24 jaar,6.0
Destelbergen,Van 25 tot 29 jaar,5.0
Diepenbeek,Van 15 tot 19 jaar,5.0
Diepenbeek,Van 20 tot 24 jaar,6.0
Diepenbeek,Van 25 tot 29 jaar,6.0
Diest,Van 15 tot 19 jaar,5.0
Diest,Van 20 tot 24 jaar,6.0
Diest,Van 25 tot 29 jaar,7.0
Diksmuide,Van 15 tot 19 jaar,7.0
Diksmuide,Van 20 tot 24 jaar,6.0
Diksmuide,Van 25 tot 29 jaar,6.0
Dilbeek,Van 15 tot 19 jaar,6.0
Dilbeek,Van 20 tot 24 jaar,6.0
Dilbeek,Van 25 tot 29 jaar,5.0
Dilsen-Stokkem,Van 15 tot 19 jaar,6.0
Dilsen-Stokkem,Van 20 tot 24 jaar,6.0
Dilsen-Stokkem,Van 25 tot 29 jaar,6.0
Dinant,Van 15 tot 19 jaar,7.0
Dinant,Van 20 tot 24 jaar,7.0
Dinant,Van 25 tot 29 jaar,6.0
Dison,Van 15 tot 19 jaar,7.0
Dison,Van 20 tot 24 jaar,7.0
Dison,Van 25 tot 29 jaar,6.0
Doische,Van 15 tot 19 jaar,7.0
Doische,Van 20 tot 24 jaar,6.0
Doische,Van 25 tot 29 jaar,4.0
Donceel,Van 15 tot 19 jaar,8.0
Donceel,Van 20 tot 24 jaar,6.0
Donceel,Van 25 tot 29 jaar,5.0
Doornik,Van 15 tot 19 jaar,6.0
Doornik,Van 20 tot 24 jaar,7.0
Doornik,Van 25 tot 29 jaar,6.0
Dour,Van 15 tot 19 jaar,6.0
Dour,Van 20 tot 24 jaar,6.0
Dour,Van 25 tot 29 jaar,6.0
Drogenbos,Van 15 tot 19 jaar,6.0
Drogenbos,Van 20 tot 24 jaar,6.0
Drogenbos,Van 25 tot 29 jaar,6.0
Duffel,Van 15 tot 19 jaar,6.0
Duffel,Van 20 tot 24 jaar,6.0
Duffel,Van 25 tot 29 jaar,6.0
Durbuy,Van 15 tot 19 jaar,6.0
Durbuy,Van 20 tot 24 jaar,6.0
Durbuy,Van 25 tot 29 jaar,5.0
Ecaussinnes,Van 15 tot 19 jaar,7.0
Ecaussinnes,Van 20 tot 24 jaar,5.0
Ecaussinnes,Van 25 tot 29 jaar,6.0
Edegem,Van 15 tot 19 jaar,6.0
Edegem,Van 20 tot 24 jaar,6.0
Edegem,Van 25 tot 29 jaar,5.0
Edingen,Van 15 tot 19 jaar,6.0
Edingen,Van 20 tot 24 jaar,6.0
Edingen,Van 25 tot 29 jaar,6.0
Eeklo,Van 15 tot 19 jaar,6.0
Eeklo,Van 20 tot 24 jaar,6.0
Eeklo,Van 25 tot 29 jaar,6.0
Eghezée,Van 15 tot 19 jaar,6.0
Eghezée,Van 20 tot 24 jaar,6.0
Eghezée,Van 25 tot 29 jaar,6.0
Eigenbrakel,Van 15 tot 19 jaar,7.0
Eigenbrakel,Van 20 tot 24 jaar,6.0
Eigenbrakel,Van 25 tot 29 jaar,5.0
Elsene,Van 15 tot 19 jaar,4.0
Elsene,Van 20 tot 24 jaar,8.0
Elsene,Van 25 tot 29 jaar,14.0
Elzele,Van 15 tot 19 jaar,7.0
Elzele,Van 20 tot 24 jaar,5.0
Elzele,Van 25 tot 29 jaar,5.0
Engis,Van 15 tot 19 jaar,7.0
Engis,Van 20 tot 24 jaar,5.0
Engis,Van 25 tot 29 jaar,6.0
Erezée,Van 15 tot 19 jaar,6.0
Erezée,Van 20 tot 24 jaar,6.0
Erezée,Van 25 tot 29 jaar,5.0
Erpe-Mere,Van 15 tot 19 jaar,5.0
Erpe-Mere,Van 20 tot 24 jaar,5.0
Erpe-Mere,Van 25 tot 29 jaar,6.0
Erquelinnes,Van 15 tot 19 jaar,7.0
Erquelinnes,Van 20 tot 24 jaar,6.0
Erquelinnes,Van 25 tot 29 jaar,5.0
Esneux,Van 15 tot 19 jaar,6.0
Esneux,Van 20 tot 24 jaar,6.0
Esneux,Van 25 tot 29 jaar,6.0
Essen,Van 15 tot 19 jaar,7.0
Essen,Van 20 tot 24 jaar,6.0
Essen,Van 25 tot 29 jaar,5.0
Estaimpuis,Van 15 tot 19 jaar,6.0
Estaimpuis,Van 20 tot 24 jaar,6.0
Estaimpuis,Van 25 tot 29 jaar,5.0
Estinnes,Van 15 tot 19 jaar,6.0
Estinnes,Van 20 tot 24 jaar,5.0
Estinnes,Van 25 tot 29 jaar,5.0
Etalle,Van 15 tot 19 jaar,8.0
Etalle,Van 20 tot 24 jaar,6.0
Etalle,Van 25 tot 29 jaar,6.0
Etterbeek,Van 15 tot 19 jaar,5.0
Etterbeek,Van 20 tot 24 jaar,7.0
Etterbeek,Van 25 tot 29 jaar,12.0
Eupen,Van 15 tot 19 jaar,6.0
Eupen,Van 20 tot 24 jaar,6.0
Eupen,Van 25 tot 29 jaar,6.0
Evere,Van 15 tot 19 jaar,6.0
Evere,Van 20 tot 24 jaar,6.0
Evere,Van 25 tot 29 jaar,7.0
Evergem,Van 15 tot 19 jaar,6.0
Evergem,Van 20 tot 24 jaar,5.0
Evergem,Van 25 tot 29 jaar,6.0
Faimes,Van 15 tot 19 jaar,6.0
Faimes,Van 20 tot 24 jaar,6.0
Faimes,Van 25 tot 29 jaar,4.0
Farciennes,Van 15 tot 19 jaar,7.0
Farciennes,Van 20 tot 24 jaar,7.0
Farciennes,Van 25 tot 29 jaar,6.0
Fauvillers,Van 15 tot 19 jaar,8.0
Fauvillers,Van 20 tot 24 jaar,6.0
Fauvillers,Van 25 tot 29 jaar,6.0
Fernelmont,Van 15 tot 19 jaar,7.0
Fernelmont,Van 20 tot 24 jaar,5.0
Fernelmont,Van 25 tot 29 jaar,6.0
